id,comment,score
435,之前宣传说科幻片，可到头来竟然是部爱情片,0.9093
436,没看过不予评论,0.0391
437,"啥子叫""不喜欢电影的朋友""，只是不喜欢没营养的电影～",0.8607
438,好好睡，晚安！,0.4214
440,兴奋，上海堡垒倒计时二天,0.722
441,哈哈,0.5262
442,互评加油呀,0.6558
443,鹿晗六千万粉丝，每人一张就至少12亿了。支持偶像3刷不过分吧，这不就36亿了吗，你们就不能去内部消化吧，哭哭滴滴的干什么，怕都是假粉丝吧……,0.0147
444,不心疼，不看，不知道好不好看，该问问粉丝（原著粉，主角粉）为啥不去看,0.4221
445,彩蛋千万别忘了看，千万别忘了看。特效是真的好看，8分是有的,0.1768
446,可惜您把中国科幻电影的大门关上了  还上了锁,0.9232
447, 看到自己了，鹿晗加油！我们永远都在,0.9439
448,非常期待,0.689
449,加油加油互评,0.9422
450,对哇对呀,0.5262
451,互评一下,0.1822
452,什么电影没黑子呢？吴京天天在微博上被嘲战狼评分也不低啊，真以为黑子能主宰大局？那不用拍电影了，多找找自己的原因。,0.9996
453,我全程精神紧绷，没有想看手机的意思，哪里不好了？如果因为鹿晗发型给恶评，那我也可以因为特效不错给满分咯…………？,0.8072
454,别动不动就扯上中国科幻电影 自己拍的电影自己心里还没点数吗,0.9406
456,期待哥哥,0.9846
458,真的，我也想说，两一起cue吧，导演也特别可爱啊,0.851
459,鹿晗的粉丝都是小孩子，哪里有钱支持他，还有就是小孩子思想不成熟，不能分辨是非//,0.6779
460,其实只要真的是好电影，口碑是一定会打破对流量的偏见，例如动物世界，真的好的话后续票房会上来吧,1.0
461,其实我觉得还不错啊,0.883
462,这就是导演号称筹备六年的电影,0.7986
464,期待期待期待！,0.8981
465,0809上海堡垒,0.4042
466,给导演留点面子,0.8783
467,明天见，四字互评,0.0431
468,顶一个,0.5277
469,我能说，我看了以后，觉得也还过得去吗,0.5383
470,9分以上,0.2413
471,林俊杰出来背锅吧，谁叫你唱的江南,0.9748
472,浙江的台风害死人了,0.2048
473,期待鹿晗呐,0.7388
